Time M1 M2 M3 M4 M5 M6 M7 
1 1,0 1,0 1,0 1,0 1,0 1,2 1,4 
2 0,6 0,6 0,6 0,6 0,7 0,8 0,8 
3 0,5 0,4 0,4 0,4 0,5 0,6 0,6 
4 0,4 0,4 0,4 0,4 0,4 0,5 0,4 
5 0,5 0,5 0,5 0,5 0,4 0,5 0,4 
6 1,0 1,2 1,2 1,1 0,8 0,8 0,5 
7 3,7 3,7 3,2 2,8 2,3 1,9 0,8 
8 6,0 5,3 5,1 4,1 3,9 3,1 1,4 
9 5,8 5,1 5,0 4,3 4,1 3,8 2,2 
10 4,9 4,7 4,6 4,5 4,4 4,2 3,6 
11 5,1 5,1 5,1 5,1 5,2 5,1 5,0 
12 5,6 5,7 5,7 5,9 6,1 6 6,4 
13 6,1 6,1 6,1 6,4 6,6 6,5 7,5 
14 6,5 6,6 6,6 6,9 7,1 7,2 7,9 
15 7,3 7,3 7,3 7,6 7,8 7,8 8,7 
16 8,3 8,4 8,7 8,9 9,0 8,7 9,0 
17 7,9 8,1 8,5 8,7 8,7 8,6 9,2 
18 6,7 7,0 7,1 7,4 7,5 7,8 8,3 
19 5,9 6,0 6,1 6,4 6,5 6,8 7,2 
20 4,9 5,0 5,1 5,3 5,4 5,7 6,1 
21 4,0 4,1 4,2 4,3 4,3 4,7 4,8 
22 3,3 3,4 3,3 3,3 3,3 3,6 3,5 
23 2,5 2,5 2,5 2,4 2,4 2,6 2,5 
24 1,7 1,7 1,7 1,5 1,5 1,8 1,7
