trp,"speed_range",Count
23568V444232,"from:0,to:15",1192
23568V444232,"from:15,to:300",396899
33438V444232,"from:0,to:15",1018
33438V444232,"from:15,to:300",396568
15016V444232,"from:0,to:15",653
15016V444232,"from:15,to:300",396307
39054V444232,"from:0,to:15",2027
39054V444232,"from:15,to:300",376100
79755V625294,"from:0,to:15",87
79755V625294,"from:15,to:300",377341
88537V444232,"from:0,to:15",7379
88537V444232,"from:15,to:300",359802
46321V444232,"from:0,to:15",4186
46321V444232,"from:15,to:300",360214
52231V625294,"from:0,to:15",235
52231V625294,"from:15,to:300",345383
32088V444219,"from:0,to:15",725
32088V444219,"from:15,to:300",343421
00378V444233,"from:0,to:15",5625
00378V444233,"from:15,to:300",335945
68557V444232,"from:0,to:15",5435
68557V444232,"from:15,to:300",334458
13447V625213,"from:0,to:15",1900
13447V625213,"from:15,to:300",329233
66990V444219,"from:0,to:15",93
66990V444219,"from:15,to:300",310238
86357V444219,"from:0,to:15",325
86357V444219,"from:15,to:300",299532
28285V444233,"from:0,to:15",2397
28285V444233,"from:15,to:300",293724
48379V625405,"from:0,to:15",1692
48379V625405,"from:15,to:300",291746
54688V625212,"from:0,to:15",2437
54688V625212,"from:15,to:300",286750
66678V320582,"from:0,to:15",44
66678V320582,"from:15,to:300",282457
30552V444220,"from:0,to:15",354
30552V444220,"from:15,to:300",277081
64040V320581,"from:0,to:15",48
64040V320581,"from:15,to:300",271034
12478V320582,"from:0,to:15",410
12478V320582,"from:15,to:300",262195
80141V444220,"from:0,to:15",1
80141V444220,"from:15,to:300",258572
21255V444277,"from:0,to:15",1
21255V444277,"from:15,to:300",252402
31290V625405,"from:0,to:15",1980
31290V625405,"from:15,to:300",245782
33808V625649,"from:0,to:15",3325
33808V625649,"from:15,to:300",233530
06970V72811,"from:0,to:15",383
06970V72811,"from:15,to:300",231546
00000V443295,"from:0,to:15",596
00000V443295,"from:15,to:300",225383
93189V320582,"from:0,to:15",80
93189V320582,"from:15,to:300",225340
12357V625212,"from:0,to:15",2289
12357V625212,"from:15,to:300",222464
68234V443152,"from:0,to:15",25
68234V443152,"from:15,to:300",223909
84212V805616,"from:0,to:15",268
84212V805616,"from:15,to:300",219555
79854V625215,"from:0,to:15",856
79854V625215,"from:15,to:300",216892
82177V625405,"from:0,to:15",48
82177V625405,"from:15,to:300",217052
59215V444233,"from:0,to:15",204
59215V444233,"from:15,to:300",211870
08879V180819,"from:0,to:15",451
08879V180819,"from:15,to:300",206070
84064V320581,"from:0,to:15",2451
84064V320581,"from:15,to:300",203366
24764V625406,"from:0,to:15",319
24764V625406,"from:15,to:300",205143
57782V443152,"from:0,to:15",0
57782V443152,"from:15,to:300",203026
20570V72811,"from:0,to:15",1970
20570V72811,"from:15,to:300",200501
17291V181259,"from:0,to:15",18
17291V181259,"from:15,to:300",202140
45557V625215,"from:0,to:15",30
45557V625215,"from:15,to:300",198922
65345V1796950,"from:0,to:15",11
65345V1796950,"from:15,to:300",191234
27754V805707,"from:0,to:15",13
27754V805707,"from:15,to:300",190108
03375V625405,"from:0,to:15",2196
03375V625405,"from:15,to:300",185804
65758V1796925,"from:0,to:15",50
65758V1796925,"from:15,to:300",184585
40889V625215,"from:0,to:15",1591
40889V625215,"from:15,to:300",182473
41451V320581,"from:0,to:15",318
41451V320581,"from:15,to:300",183094
35002V72811,"from:0,to:15",13520
35002V72811,"from:15,to:300",169340
00000V1702751,"from:0,to:15",61
00000V1702751,"from:15,to:300",180385
44756V1863949,"from:0,to:15",400
44756V1863949,"from:15,to:300",177246
73894V444221,"from:0,to:15",0
73894V444221,"from:15,to:300",177428
45610V804781,"from:0,to:15",641
45610V804781,"from:15,to:300",175975
15322V971307,"from:0,to:15",0
15322V971307,"from:15,to:300",174425
59192V1878201,"from:0,to:15",19
59192V1878201,"from:15,to:300",174355
65271V443150,"from:0,to:15",0
65271V443150,"from:15,to:300",172272
98963V1719019,"from:0,to:15",671
98963V1719019,"from:15,to:300",170967
22540V121303,"from:0,to:15",1932
22540V121303,"from:15,to:300",167745
12554V971778,"from:0,to:15",0
12554V971778,"from:15,to:300",164913
04925V444232,"from:0,to:15",1825
04925V444232,"from:15,to:300",162541
14706V805707,"from:0,to:15",30
14706V805707,"from:15,to:300",162790
64982V805707,"from:0,to:15",2247
64982V805707,"from:15,to:300",159648
87734V2312218,"from:0,to:15",105
87734V2312218,"from:15,to:300",161429
94820V1175548,"from:0,to:15",3849
94820V1175548,"from:15,to:300",146279
52685V444218,"from:0,to:15",1
52685V444218,"from:15,to:300",149942
88563V444277,"from:0,to:15",4862
88563V444277,"from:15,to:300",144914
78251V1719132,"from:0,to:15",0
78251V1719132,"from:15,to:300",147896
78017V804784,"from:0,to:15",95
78017V804784,"from:15,to:300",147286
98936V121303,"from:0,to:15",63
98936V121303,"from:15,to:300",143724
58345V1719147,"from:0,to:15",7
58345V1719147,"from:15,to:300",143361
26266V443149,"from:0,to:15",17
26266V443149,"from:15,to:300",142678
25000V2252921,"from:0,to:15",0
25000V2252921,"from:15,to:300",140445
14630V805616,"from:0,to:15",5355
14630V805616,"from:15,to:300",132910
90500V805707,"from:0,to:15",2614
90500V805707,"from:15,to:300",134828
95340V971469,"from:0,to:15",736
95340V971469,"from:15,to:300",136374
35088V2252983,"from:0,to:15",2
35088V2252983,"from:15,to:300",136402
68256V444277,"from:0,to:15",6
68256V444277,"from:15,to:300",135190
56438V804776,"from:0,to:15",5369
56438V804776,"from:15,to:300",129072
68771V2258479,"from:0,to:15",0
68771V2258479,"from:15,to:300",133182
71535V319524,"from:0,to:15",1139
71535V319524,"from:15,to:300",128389
04403V2172075,"from:0,to:15",18
04403V2172075,"from:15,to:300",129414
51936V319817,"from:0,to:15",689
51936V319817,"from:15,to:300",127740
29614V805708,"from:0,to:15",851
29614V805708,"from:15,to:300",125573
05185V2783689,"from:0,to:15",5
05185V2783689,"from:15,to:300",124877
68351V319882,"from:0,to:15",2194
68351V319882,"from:15,to:300",121313
94543V2783687,"from:0,to:15",478
94543V2783687,"from:15,to:300",122296
29937V971442,"from:0,to:15",66
29937V971442,"from:15,to:300",122631
68539V625646,"from:0,to:15",12
68539V625646,"from:15,to:300",122272
24742V1669523,"from:0,to:15",0
24742V1669523,"from:15,to:300",121666
69356V971439,"from:0,to:15",0
69356V971439,"from:15,to:300",120989
16477V625646,"from:0,to:15",0
16477V625646,"from:15,to:300",119551
75005V805120,"from:0,to:15",17
75005V805120,"from:15,to:300",119219
78492V2394249,"from:0,to:15",191
78492V2394249,"from:15,to:300",118554
60739V625530,"from:0,to:15",16
60739V625530,"from:15,to:300",118011
03520V1175848,"from:0,to:15",2707
03520V1175848,"from:15,to:300",114594
55092V1125799,"from:0,to:15",1093
55092V1125799,"from:15,to:300",114382
39653V2172095,"from:0,to:15",0
39653V2172095,"from:15,to:300",115309
75571V248950,"from:0,to:15",327
75571V248950,"from:15,to:300",113804
77061V444230,"from:0,to:15",79
77061V444230,"from:15,to:300",113584
10287V2312216,"from:0,to:15",4699
10287V2312216,"from:15,to:300",108811
43417V1175565,"from:0,to:15",134
43417V1175565,"from:15,to:300",112629
45924V1955584,"from:0,to:15",6
45924V1955584,"from:15,to:300",112069
72867V971385,"from:0,to:15",6089
72867V971385,"from:15,to:300",105887
40641V971605,"from:0,to:15",6086
40641V971605,"from:15,to:300",105686
64390V1672721,"from:0,to:15",1
64390V1672721,"from:15,to:300",111527
58562V1718862,"from:0,to:15",9
58562V1718862,"from:15,to:300",111001
33123V2258515,"from:0,to:15",2
33123V2258515,"from:15,to:300",110329
08989V2586412,"from:0,to:15",48
08989V2586412,"from:15,to:300",110062
48300V443646,"from:0,to:15",3522
48300V443646,"from:15,to:300",106297
60371V1719219,"from:0,to:15",0
60371V1719219,"from:15,to:300",108717
26071V121746,"from:0,to:15",255
26071V121746,"from:15,to:300",108277
14675V1676379,"from:0,to:15",12
14675V1676379,"from:15,to:300",107315
51214V805707,"from:0,to:15",9
51214V805707,"from:15,to:300",106664
32842V319521,"from:0,to:15",5927
32842V319521,"from:15,to:300",100272
62327V1175852,"from:0,to:15",3017
62327V1175852,"from:15,to:300",102571
91229V886007,"from:0,to:15",737
91229V886007,"from:15,to:300",103431
41419V1669366,"from:0,to:15",0
41419V1669366,"from:15,to:300",103741
27436V2172082,"from:0,to:15",2
27436V2172082,"from:15,to:300",103491
87740V971816,"from:0,to:15",4469
87740V971816,"from:15,to:300",98711
51157V805707,"from:0,to:15",211
51157V805707,"from:15,to:300",101507
50749V319525,"from:0,to:15",833
50749V319525,"from:15,to:300",100720
44656V72812,"from:0,to:15",3571
44656V72812,"from:15,to:300",97118
57166V121303,"from:0,to:15",4029
57166V121303,"from:15,to:300",96215
40820V121304,"from:0,to:15",287
40820V121304,"from:15,to:300",99672
82885V805617,"from:0,to:15",1217
82885V805617,"from:15,to:300",98510
89281V1206302,"from:0,to:15",4259
89281V1206302,"from:15,to:300",94768
96571V444221,"from:0,to:15",0
96571V444221,"from:15,to:300",98175
34395V443402,"from:0,to:15",777
34395V443402,"from:15,to:300",97337
16035V971817,"from:0,to:15",3769
16035V971817,"from:15,to:300",94301
67511V319880,"from:0,to:15",2613
67511V319880,"from:15,to:300",95124
03294V443636,"from:0,to:15",245
03294V443636,"from:15,to:300",96829
29861V1832531,"from:0,to:15",462
29861V1832531,"from:15,to:300",96161
31998V805616,"from:0,to:15",170
31998V805616,"from:15,to:300",96229
68018V121746,"from:0,to:15",205
68018V121746,"from:15,to:300",96072
06800V805054,"from:0,to:15",145
