"trp";"valid_speed_ratio";"low_speed_ratio";"name";"legacyNortrafMpn";"county";"category";"status";"number";"hp";"meter"
"00000V1993681";69;0;"KNAPPETUN.DOLVIK YTREBYGDSVEGEN";1200209;12;"F";"V";557;1;17040
"00232V805106";76;5;"DALSEID FV569";1202044;12;"F";"V";569;1;25
"00438V971359";100;0;"RAMSTAD VEST";100286;1;"F";"V";128;4;6261
"00520V885778";82;6;"Fv885 Hadselbrukrysset";1800583;18;"F";"V";885;1;50
"00617V930469";61;3;"SAGA TVERRELVDALEN";2000930;20;"F";"V";26;1;50
"02175V930310";56;0;"Vadsø Vest";2000164;20;"E";"V";75;5;29
"03093V886126";74;5;"Leknes, veg til fl";1800650;18;"F";"V";842;1;13
"06850V1175466";70;2;"SEM KIRKE";700029;7;"F";"V";35;1;1100
"10204V121460";66;0;"LAUDAL";1000343;10;"F";"V";461;4;940
"12236V1693223";51;0;"STORHAUGEN AUSTEVOLL";1203233;12;"F";"V";546;53;35
"12510V521383";54;0;"Sauland";800036;8;"E";"V";134;5;5025
"13177V930320";98;55;"KARIGASNIEMI RGR. ";2000178;20;"R";"V";92;7;1169
"13531V1059995";100;0;"KREKKE SØR";NA;5;"E";"V";6;11;8715
"14875V249119";54;0;"Flyplasskrysset";1500518;15;"R";"V";681;1;200
"17790V930593";58;0;"E6 Alta x Tverrelvdalen";2000055;20;"E";"V";6;5;249
"17838V930639";60;2;"Sandnes";2000046;20;"F";"V";885;1;1770
"19588V1060150";27;61;"Langvatnet";NA;5;"F";"V";63;1;506
"23045V2441493";57;0;"ARM STORD-BØMLO";1200103;12;"E";"V";39;67;32107
"27123V1060652";70;0;"MJØRLUND SØR";500657;5;"R";"V";4;5;10273
"32158V2482021";63;0;"VÅGSBOTN-EIKÅSTUNNELEN";1200221;12;"E";"V";39;21;465
"33313V2014318";56;0;"VASSBOTN BRUA";700021;7;"E";"V";18;17;2083
"34573V930302";21;52;"Skarsvågkrysset E69";2000070;20;"E";"V";69;9;12270
"35088V2252983";54;0;"FURULUND";700225;7;"E";"V";18;11;660
"35485V384501";15;14;"GAULARFJELLET";1400041;14;"F";"V";13;8;19315
"39608V521433";26;24;"Spjotsodd";800039;8;"R";"V";41;5;7150
"41598V1175670";52;0;"FEVANG";700496;7;"F";"V";256;5;2316
"43379V443819";53;2;"Kirkeveien Høvik";205272;2;"F";"V";163;3;420
"43920V121762";66;0;"DALEHEFTE";1000015;10;"R";"V";9;5;2021
"46960V1060417";52;0;"STORHOVE SØR";500443;5;"F";"V";312;1;1201
"47254V121508";54;8;"FESTNINGSGATA";1000270;10;"F";"V";28;1;370
"48910V72822";53;0;"HAVSJØEN HEDMARK GR";1602101;50;"F";"V";30;7;2967
"51202V1175558";51;0;"STRANDPROMENADEN";700117;7;"F";"V";310;50;718
"51938V443842";52;6;"LYSAKER (LILLEAKER)";205286;2;"F";"V";610;2;778
"52794V805054";54;0;"BØNES";1200011;12;"F";"V";556;3;2685
"53810V2172079";51;0;"BOLSTAD TUNNEL";700011;7;"E";"V";18;2;6500
"54688V625212";69;1;"Skullerud Hovedkjørefelt";300272;3;"E";"V";6;1;5272
